Phage Name,Latitude,Longitude,Zipcode,Population Density,County,pH,Waterquality,GHI,Dew Point,Albedo,AQI,PM25,PM10,CO_8H,NO2_1H,SO3_1H
244,40.444259,-79.95320799999998,15260,,Allegheny County,7.4504907975460135,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,35.0,8.4,37.0,3.0,37.0,24.0
244,40.444259,-79.95320799999998,15260,,Allegheny County,7.4504907975460135,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,35.0,8.4,37.0,3.0,37.0,24.0
ABCat,41.33,-72.94800000000002,06511,9041.0,New Haven County,7.902839776569157,Not applicable,171.77636986301368,6.426255707762557,0.1953424657534197,53.0,13.0,59.0,4.7,55.0,37.0
ABCat,41.33,-72.94800000000002,06511,9041.0,New Haven County,7.902839776569157,Not applicable,171.77636986301368,6.426255707762557,0.1953424657534197,53.0,13.0,59.0,4.7,55.0,37.0
ABU,40.639708,-75.379356,18107,,Northampton County,7.834701141591402,"Stable, normal stage",170.40136986301368,6.246461187214612,0.2342739726027997,42.0,10.0,45.0,3.6,44.0,29.0
ABU,40.639708,-75.379356,18107,,Northampton County,7.834701141591402,"Stable, normal stage",170.40136986301368,6.246461187214612,0.2342739726027997,42.0,10.0,45.0,3.6,44.0,29.0
ACFishhook,39.101453,-96.61059,66502,191.0,Riley County,7.833907596847206,"Stable, high stage",189.89531963470318,6.363470319634702,0.21150684931509056,24.0,5.7,25.0,2.1,25.0,16.0
ACFishhook,39.101453,-96.61059,66502,191.0,Riley County,7.833907596847206,"Stable, high stage",189.89531963470318,6.363470319634702,0.21150684931509056,24.0,5.7,25.0,2.1,25.0,16.0
AFIS,40.421086,-86.922207,47907,,Tippecanoe County,7.7553144971708114,Not applicable,173.16632420091324,6.472374429223744,0.2340821917808549,12.0,2.8,12.0,1.0,12.0,8.0
AN3,32.1656,-82.9001,,,Dodge County,,,204.80273972602745,12.829908675799091,0.12789041095889073,41.0,9.8,44.0,3.6,43.0,28.0
AN9,32.1656,-82.9001,,,Dodge County,,,204.80273972602745,12.829908675799091,0.12789041095889073,41.0,9.8,44.0,3.6,43.0,28.0
ANI8,32.1656,-82.9001,,,Dodge County,,,204.80273972602745,12.829908675799091,0.12789041095889073,41.0,9.8,44.0,3.6,43.0,28.0
ASerpRocky,40.444285,-79.955213,15213,14474.0,Allegheny County,7.812237151557299,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,35.0,8.4,37.0,3.0,37.0,24.0
Aaronocolus,33.213,-97.148,76201,4857.0,Denton County,7.9848855905999025,"Stable, normal stage",208.52066210045663,10.775228310502284,0.16802739726028745,42.0,10.0,45.0,3.6,44.0,29.0
Aaronocolus,33.213,-97.148,76201,4857.0,Denton County,7.9848855905999025,"Stable, normal stage",208.52066210045663,10.775228310502284,0.16802739726028745,42.0,10.0,45.0,3.6,44.0,29.0
Abba,34.067996,-118.450765,90024,16154.0,Los Angeles County,7.966310096153876,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,42.0,10.0,45.0,3.6,44.0,29.0
Abba,34.067996,-118.450765,90024,16154.0,Los Angeles County,7.966310096153876,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,42.0,10.0,45.0,3.6,44.0,29.0
AbbeyMikolon,41.244625,-75.88789,18766,,Luzerne County,7.918820010875497,"Stable, normal stage",161.1986301369863,5.206050228310502,0.21419178082192605,35.0,8.4,37.0,3.0,37.0,24.0
AbbeyMikolon,41.244625,-75.88789,18766,,Luzerne County,7.918820010875497,"Stable, normal stage",161.1986301369863,5.206050228310502,0.21419178082192605,35.0,8.4,37.0,3.0,37.0,24.0
AbbysRanger,37.39757,-85.01984,42539,47.0,Casey County,,,179.7229452054794,8.31986301369863,0.1678630136986592,47.0,11.2,50.0,4.1,49.0,32.0
AbbysRanger,37.39757,-85.01984,42539,47.0,Casey County,,,179.7229452054794,8.31986301369863,0.1678630136986592,47.0,11.2,50.0,4.1,49.0,32.0
Abdiel,38.643888,-90.311944,63143,4910.0,Saint Louis County,7.905922506065358,Falling stage,181.73047945205482,7.855136986301369,0.16241095890411614,38.0,9.1,41.0,3.3,40.0,26.0
Abdiel,38.643888,-90.311944,63143,4910.0,Saint Louis County,7.905922506065358,Falling stage,181.73047945205482,7.855136986301369,0.16241095890411614,38.0,9.1,41.0,3.3,40.0,26.0
Abidatro,40.862,-74.1987,07043,4671.0,Essex County,7.8498127909825985,,171.08047945205482,6.804680365296804,0.1824931506849266,42.0,10.0,45.0,3.6,44.0,29.0
Abidatro,40.862,-74.1987,07043,4671.0,Essex County,7.8498127909825985,,171.08047945205482,6.804680365296804,0.1824931506849266,42.0,10.0,45.0,3.6,44.0,29.0
Abinghost,38.5514,-77.0112,20646,229.0,Charles County,7.8498127909825985,,183.87340182648398,8.588470319634705,0.15605479452053705,47.0,11.2,50.0,4.1,49.0,32.0
Abinghost,38.5514,-77.0112,20646,229.0,Charles County,7.8498127909825985,,183.87340182648398,8.588470319634705,0.15605479452053705,47.0,11.2,50.0,4.1,49.0,32.0
Abrogate,44.853317,-92.616408,54022,159.0,Pierce County,7.827595733664693,,162.46746575342462,2.0579908675799095,0.3163013698630409,21.0,5.0,22.0,1.8,22.0,14.0
Abrogate,44.853317,-92.616408,54022,159.0,Pierce County,7.827595733664693,,162.46746575342462,2.0579908675799095,0.3163013698630409,21.0,5.0,22.0,1.8,22.0,14.0
AbsoluteMadLad,47.5916,-114.1112,59855,1326.0,Lake County,7.832724321012856,,152.4030821917808,0.2541095890410959,0.3811506849314715,37.0,8.8,39.0,3.2,39.0,25.0
AbsoluteMadLad,47.5916,-114.1112,59855,1326.0,Lake County,7.832724321012856,,152.4030821917808,0.2541095890410959,0.3811506849314715,37.0,8.8,39.0,3.2,39.0,25.0
Abt2graduatex2,39.257815,-76.706519,21228,3070.0,Baltimore County,7.836801939897794,,180.49235159817349,7.419178082191781,0.17175342465754556,34.0,8.1,36.0,2.9,36.0,23.0
Abt2graduatex2,39.257815,-76.706519,21228,3070.0,Baltimore County,7.836801939897794,,180.49235159817349,7.419178082191781,0.17175342465754556,34.0,8.1,36.0,2.9,36.0,23.0
Acadian,30.213741,-92.017924,70503,2346.0,Lafayette Parish,7.831058056872027,Not applicable,203.01541095890408,15.767808219178082,0.14958904109590185,10.0,2.4,10.0,0.8,10.0,7.0
