Phage Name,Zipcode,Population Density,County,Year Found,pH,Waterquality,GHI,Dew Point,Albedo,Latitude,Longitude,AQI,PM25,PM10,CO_8H,NO2_1H,SO3_1H,GC%,Temperate?,Genome Length(bp),Accession #
244,15260,,Allegheny County,2004.0,7.450490797546013,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.444259,-79.95320799999998,35.0,8.4,37.0,3.0,37.0,24.0,63.4,TRUE,74483,DQ398041
ABCat,06511,9041.0,New Haven County,2011.0,7.902839776569157,Not applicable,171.77636986301368,6.426255707762557,0.1953424657534197,41.33,-72.94800000000002,53.0,13.0,59.0,4.7,55.0,37.0,63.0,TRUE,76131,KF188414
ABU,18107,,Northampton County,2009.0,7.8347011415914025,"Stable, normal stage",170.40136986301368,6.246461187214612,0.2342739726027997,40.639708,-75.379356,42.0,10.0,45.0,3.6,44.0,29.0,66.5,FALSE,68850,JF704091
ACFishhook,66502,191.0,Riley County,2015.0,7.833907596847206,"Stable, high stage",189.89531963470318,6.363470319634702,0.21150684931509056,39.101453,-96.61059,24.0,5.7,25.0,2.1,25.0,16.0,64.0,TRUE,47343,MK284518
AFIS,47907,,Tippecanoe County,2014.0,7.7553144971708114,Not applicable,173.16632420091324,6.472374429223744,0.2340821917808549,40.421086,-86.922207,12.0,2.8,12.0,1.0,12.0,8.0,63.7,TRUE,51737,MK359300
AN3,,,Dodge County,,,,204.80273972602745,12.829908675799091,0.12789041095889073,32.1656,-82.9001,41.0,9.8,44.0,3.6,43.0,28.0,63.4,TRUE,51037,MT310886
AN9,,,Dodge County,,,,204.80273972602745,12.829908675799091,0.12789041095889073,32.1656,-82.9001,41.0,9.8,44.0,3.6,43.0,28.0,63.1,TRUE,51141,MT310885
ANI8,,,Dodge County,,,,204.80273972602745,12.829908675799091,0.12789041095889073,32.1656,-82.9001,41.0,9.8,44.0,3.6,43.0,28.0,63.1,TRUE,51141,MT310884
ASerpRocky,15213,14474.0,Allegheny County,2016.0,7.812237151557299,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.444285,-79.955213,35.0,8.4,37.0,3.0,37.0,24.0,59.2,FALSE,74355,MN234166
Aaronocolus,76201,4857.0,Denton County,2014.0,7.9848855905999025,"Stable, normal stage",208.52066210045663,10.775228310502284,0.16802739726028745,33.213,-97.148,42.0,10.0,45.0,3.6,44.0,29.0,66.2,TRUE,49562,KT124227
